30	120	124184
29	90	89547
29	30	25083
28	10	9221
30	100	89347
28	40	40278
28	30	28331
30	100	100827
27	0	5003
29	40	41516
31	140	122273
28	20	22460
30	70	49552
31	430	356258
30	40	33306
30	170	150362
30	60	52503
31	1330	1218683
31	220	193252
31	240	205617
31	80	55111
33	180	148956
32	640	505049
31	380	294594
30	60	37840
32	580	466154
31	990	905726
31	1160	993011
33	960	663414
31	100	73618
32	430	326606
31	490	455517
34	1510	1148153
31	220	170573
32	110	84501
33	460	357157
35	1050	738765
33	140	88074
34	260	183591
35	1890	1290571
37	4290	2614228
33	1400	1035410
35	3920	2577763
33	1760	1399539
35	5730	3929217
35	1530	1048544
38	1690	1006963
35	7440	5198963
37	1800	1203465
36	20720	13988540
37	10420	5765625
36	4460	2945074
35	4690	3244727
39	4870	2274641
35	1840	1301969
37	4140	2390304
39	7830	3308752
37	3900	2303597
36	7310	4891091
38	15940	9182822
38	14560	6914796
37	42430	25768970
37	8590	2845889
38	12290	3797778
40	4560	1319083
40	54820	14731297
38	4770	2600762
39	9230	3153387
38	4040	2324013
39	8080	3369331
39	22870	9649500
39	4300	2192413
40	18420	6327541
40	2730	1378136
41	6910	1519236
42	7100	1277996
40	12880	4150049
40	19630	7141778
42	5880	1708913
40	25140	8899918
41	16000	5516201
42	9520	2295532
41	16000	5621803
41	7500	2637119
41	39280	9795621
43	5320	1282785
42	8520	2430099
42	4000	863154
42	5660	1861222
44	3050	779510
43	22250	4599635
44	10050	1467908
43	12130	2411578
44	4830	1314411
44	10130	1521565
44	13140	2638217
44	16520	2928369
44	3190	679200
44	6210	949658
45	1120	199173
45	12240	1435224
45	8900	1660525
45	8100	772008
47	2030	353770
46	10050	848198
47	1840	298962
46	6480	936230
46	3990	654438
46	12110	1184237
47	2880	378553
47	2780	487919
47	4430	471351
47	3010	413199
47	5730	966519
47	3570	404347
48	3480	448649
48	3750	489065
48	5220	533175
48	7550	470846
48	4340	486950
49	3810	356555
49	4890	332760
49	4400	315356
50	2930	207475
49	4830	459627
50	1610	132661
50	1850	178758
50	2830	259996
51	990	113630
51	1220	92414
51	2360	145195
52	2250	105679
52	2410	151916
52	2530	93337
51	2430	146735
52	2020	106449
53	1110	145091
53	2020	117222
52	1570	111941
53	2640	188871
53	1280	110568
53	1730	65653
53	1920	159997
53	1870	98164
53	1930	98384
54	1300	94246
54	1750	106765
54	2190	52480
54	2270	81448
54	2690	77015
56	920	44479
55	2550	77698
55	1770	66034
56	620	55275
55	1240	40421
57	1220	47939
57	820	42082
56	2840	71695
56	2140	54705
56	650	38497
57	1670	60383
57	970	48293
58	1150	27579
57	1720	40252
57	930	44108
58	910	34148
58	1200	37183
58	1000	44109
58	1150	41452
59	800	28679
59	830	30492
59	1060	32436
59	470	32980
59	1110	29482
59	1650	34804
60	1000	19396
60	390	23140
60	650	25132
60	720	26295
60	530	20436
61	710	19501
61	1060	20327
61	420	25047
61	870	22487
61	1050	27309
63	360	18750
62	660	13375
63	500	11508
62	550	14494
62	980	13119
63	500	10386
63	530	10605
63	350	19066
63	880	14271
63	350	15183
64	350	15515
64	500	17558
64	500	11260
64	510	14120
64	720	9503
65	440	9853
65	1090	17044
65	560	8381
65	770	9698
65	660	9846
66	170	10301
66	420	7659
66	560	8455
66	620	6463
66	410	7814
67	740	10182
67	550	5981
67	450	7903
67	300	7486
67	460	6147
68	450	8806
68	290	5682
68	200	12335
68	590	5987
68	270	6325
69	390	4945
70	390	4732
69	310	5828
69	400	4860
69	490	4142
70	270	5627
70	250	4391
70	420	3949
70	310	4450
70	260	4235
71	200	4509
71	640	4261
71	390	3547
71	380	3690
71	220	3706
72	460	3708
72	300	3395
72	290	2809
72	340	3605
72	290	2965
73	260	2036
73	310	4500
73	140	2923
73	210	2811
73	380	2442
74	600	3089
74	260	2799
74	300	2244
74	230	2183
74	460	3019
75	270	2193
75	300	2327
75	290	2104
75	330	2255
75	240	2576
76	180	1510
76	170	1761
76	170	1328
76	270	1915
76	130	2447
77	230	1769
77	160	2192
77	270	1759
77	270	1594
77	340	1633
78	240	1752
78	240	1150
78	210	1337
78	240	1169
78	150	1561
79	190	1315
79	190	1003
79	180	545
79	160	1100
79	150	709
80	200	786
80	150	1333
80	190	904
80	190	1025
80	190	767
81	260	1180
81	250	513
81	250	1082
81	170	658
81	280	1123
82	140	933
82	130	457
82	160	947
82	230	1186
82	150	659
83	220	595
83	330	469
83	130	441
83	210	604
83	200	851
84	210	943
84	120	574
84	100	933
84	120	1140
84	200	763
85	210	424
85	110	661
85	220	1023
85	110	283
85	190	547
86	190	335
86	100	490
86	150	747
86	130	757
86	170	275
87	200	426
87	130	289
87	120	425
87	140	471
87	160	590
88	210	347
88	130	312
88	240	243
88	100	280
88	180	282
89	120	218
89	170	546
89	130	740
89	150	100
89	130	694
